Species,Site,Plot,Tree,TreeDBH
AMYG,CMP,A,1,21.8
AMYG,CMP,A,2,32.4
AMYG,CMP,A,3,58.1
AMYG,CMP,A,4,41.1
AMYG,CMP,A,5,54.4
AMYG,CMP,B,1,59.4
AMYG,CMP,B,2,59.5
AMYG,CMP,B,3,34.4
AMYG,CMP,B,4,56.6
AMYG,CMP,B,5,40.7
AMYG,CMP,C,1,36.4
AMYG,CMP,C,2,43.7
AMYG,CMP,C,3,31.2
AMYG,CMP,C,4,42.4
AMYG,CMP,C,5,26
AMYG,EPF,A,1,18.7
AMYG,EPF,A,2,25.7
AMYG,EPF,A,3,23.4
AMYG,EPF,A,4,10.8
AMYG,EPF,A,5,40.1
AMYG,EPF,B,1,51.1
AMYG,EPF,B,2,38.6
AMYG,EPF,B,3,33.1
AMYG,EPF,B,4,33.4
AMYG,EPF,B,5,37.8
AMYG,EPF,C,1,40.9
AMYG,EPF,C,2,29
AMYG,EPF,C,3,16.4
AMYG,EPF,C,4,23.4
AMYG,EPF,C,5,35.4
AMYG,GRA,A,1,28.7
AMYG,GRA,A,2,19.6
AMYG,GRA,A,3,29.9
AMYG,GRA,A,4,17.3
AMYG,GRA,A,5,26.5
AMYG,GRA,B,1,74.5
AMYG,GRA,B,2,49.9
AMYG,GRA,B,3,23.8
AMYG,GRA,B,4,45.7
AMYG,GRA,B,5,32.6
AMYG,GRA,C,1,18.1
AMYG,GRA,C,2,16.9
AMYG,GRA,C,3,23.4
AMYG,GRA,C,4,45.4
AMYG,GRA,C,5,31.1
AMYG,MER,A,1,19.5
AMYG,MER,A,2,14
AMYG,MER,A,3,17.1
AMYG,MER,A,4,30.3
AMYG,MER,A,5,36
AMYG,MER,B,1,25.8
AMYG,MER,B,2,37.5
AMYG,MER,B,3,20
AMYG,MER,B,4,35.9
AMYG,MER,B,5,26.6
AMYG,MER,C,1,25
AMYG,MER,C,2,82.7
AMYG,MER,C,3,11.8
AMYG,MER,C,4,51
AMYG,MER,C,5,128.4
AMYG,TMP,A,1,39.9
AMYG,TMP,A,2,15
AMYG,TMP,A,3,28.4
AMYG,TMP,A,4,18.2
AMYG,TMP,A,5,22
AMYG,TMP,B,1,39.3
AMYG,TMP,B,2,38.1
AMYG,TMP,B,3,48.8
AMYG,TMP,B,4,28
AMYG,TMP,B,5,45
AMYG,TMP,C,1,86
AMYG,TMP,C,2,29.5
AMYG,TMP,C,3,29.6
AMYG,TMP,C,4,45.2
AMYG,TMP,C,5,29.5
OBLI,BOF,A,1,78.7
OBLI,BOF,A,2,61.5
OBLI,BOF,A,3,46.7
OBLI,BOF,A,4,66.6
OBLI,BOF,A,5,71.4
OBLI,BOF,B,1,25.4
OBLI,BOF,B,2,70.4
OBLI,BOF,B,3,77.7
OBLI,BOF,B,4,62.8
OBLI,BOF,B,5,36.9
OBLI,BOF,C,1,59.4
OBLI,BOF,C,2,58.6
OBLI,BOF,C,3,87.8
OBLI,BOF,C,4,48.6
OBLI,BOF,C,5,50.2
OBLI,GRA,A,1,66.2
OBLI,GRA,A,2,44.5
OBLI,GRA,A,3,37.3
OBLI,GRA,A,4,47.5
OBLI,GRA,A,5,42.2
OBLI,GRA,B,1,48.5
OBLI,GRA,B,2,51.5
OBLI,GRA,B,3,42
OBLI,GRA,B,4,59.2
OBLI,GRA,B,5,47.5
OBLI,GRA,C,1,41.1
OBLI,GRA,C,2,31.6
OBLI,GRA,C,3,47
OBLI,GRA,C,4,25.4
OBLI,GRA,C,5,41
OBLI,MER,A,1,28.3
OBLI,MER,A,2,24.3
OBLI,MER,A,3,70
OBLI,MER,A,4,20.8
OBLI,MER,A,5,94.1
OBLI,MER,B,1,21.7
OBLI,MER,B,2,39
OBLI,MER,B,3,55.3
OBLI,MER,B,4,43.4
OBLI,MER,B,5,120.3
OBLI,MER,C,1,35.8
OBLI,MER,C,2,22
OBLI,MER,C,3,48.4
OBLI,MER,C,4,50
OBLI,MER,C,5,12.7
OBLI,TMP,A,1,58
OBLI,TMP,A,2,37
OBLI,TMP,A,3,58.2
OBLI,TMP,A,4,46.5
OBLI,TMP,A,5,63
OBLI,TMP,B,1,79.1
OBLI,TMP,B,2,40.8
OBLI,TMP,B,3,47
OBLI,TMP,B,4,57.6
OBLI,TMP,B,5,33.6
OBLI,TMP,C,1,35.4
OBLI,TMP,C,2,19.7
OBLI,TMP,C,3,18.7
OBLI,TMP,C,4,43
OBLI,TMP,C,5,58.5
OVAT,CMP,A,1,52
OVAT,CMP,A,2,42
OVAT,CMP,A,3,35.9
OVAT,CMP,A,4,69.5
OVAT,CMP,A,5,34.7
OVAT,CMP,B,1,37.5
OVAT,CMP,B,2,53.5
OVAT,CMP,B,3,41.3
OVAT,CMP,B,4,35.3
OVAT,CMP,B,5,63.3
OVAT,CMP,C,1,25.5
OVAT,CMP,C,2,26
OVAT,CMP,C,3,49
OVAT,CMP,C,4,15
OVAT,CMP,C,5,23.3
OVAT,EPF,A,1,11
OVAT,EPF,A,2,40.8
OVAT,EPF,A,3,39.4
OVAT,EPF,A,4,38.2
OVAT,EPF,A,5,23.5
OVAT,EPF,B,1,28.7
OVAT,EPF,B,2,16.4
OVAT,EPF,B,3,19.5
OVAT,EPF,B,4,36.4
OVAT,EPF,B,5,40.3
OVAT,EPF,C,1,24.7
OVAT,EPF,C,2,34.5
OVAT,EPF,C,3,44.6
OVAT,EPF,C,4,48.5
OVAT,EPF,C,5,57.3
OVAT,GRA,A,1,31.4
OVAT,GRA,A,2,43.1
OVAT,GRA,A,3,39.2
OVAT,GRA,A,4,64
OVAT,GRA,A,5,58.2
OVAT,GRA,B,1,19.8
OVAT,GRA,B,2,40.6
OVAT,GRA,B,3,49.9
OVAT,GRA,B,4,18.2
OVAT,GRA,B,5,41.5
OVAT,GRA,C,1,18.5
OVAT,GRA,C,2,14.8
OVAT,GRA,C,3,15.3
OVAT,GRA,C,4,20.5
OVAT,GRA,C,5,10.9
OVAT,MER,A,1,31.1
OVAT,MER,A,2,12.5
OVAT,MER,A,3,11.8
OVAT,MER,A,4,29.5
OVAT,MER,A,5,17.1
OVAT,MER,B,1,10.8
OVAT,MER,B,2,88.5
OVAT,MER,B,3,24.5
OVAT,MER,B,4,18.4
OVAT,MER,B,5,103.8
OVAT,MER,C,1,11.1
OVAT,MER,C,2,32.8
OVAT,MER,C,3,19.2
OVAT,MER,C,4,18.6
OVAT,MER,C,5,14.7
VIMI,EPF,A,1,32.1
VIMI,EPF,A,2,24.3
VIMI,EPF,A,3,25.9
VIMI,EPF,A,4,24.7
VIMI,EPF,A,5,13.5
VIMI,EPF,B,1,45.7
VIMI,EPF,B,2,50.7
VIMI,EPF,B,3,49.1
VIMI,EPF,B,4,51
VIMI,EPF,B,5,37
VIMI,EPF,C,1,33.7
VIMI,EPF,C,2,15.5
VIMI,EPF,C,3,41.5
VIMI,EPF,C,4,12.7
VIMI,EPF,C,5,52.8
VIMI,FREY,A,1,48
VIMI,FREY,A,2,26.3
VIMI,FREY,A,3,8
VIMI,FREY,A,4,42.7
VIMI,FREY,A,5,45.5
VIMI,FREY,B,1,25.9
VIMI,FREY,B,2,83
VIMI,FREY,B,3,41.3
VIMI,FREY,B,4,44.7
VIMI,FREY,B,5,30.1
VIMI,FREY,C,1,18.2
VIMI,FREY,C,2,21.8
VIMI,FREY,C,3,29.2
VIMI,FREY,C,4,24.2
VIMI,FREY,C,5,47.5
VIMI,GRA,A,1,35.5
VIMI,GRA,A,2,25.7
VIMI,GRA,A,3,55.5
VIMI,GRA,A,4,35
VIMI,GRA,A,5,38.3
VIMI,GRA,B,1,39
VIMI,GRA,B,2,36.4
VIMI,GRA,B,3,24.7
VIMI,GRA,B,4,82.7
VIMI,GRA,B,5,32.5
VIMI,GRA,C,1,14.5
VIMI,GRA,C,2,24.4
VIMI,GRA,C,3,68.1
VIMI,GRA,C,4,27.6
VIMI,GRA,C,5,58.2
VIMI,MER,A,1,26
VIMI,MER,A,2,32
VIMI,MER,A,3,15
VIMI,MER,A,4,37
VIMI,MER,A,5,14.5
VIMI,MER,B,1,82
VIMI,MER,B,2,89.3
VIMI,MER,B,3,26.5
VIMI,MER,B,4,69
VIMI,MER,B,5,109
VIMI,MER,C,1,20.3
VIMI,MER,C,2,53.2
VIMI,MER,C,3,18.9
VIMI,MER,C,4,17.5
VIMI,MER,C,5,9
VIMI,TMP,A,1,38.6
VIMI,TMP,A,2,15.9
VIMI,TMP,A,3,16.7
VIMI,TMP,A,4,11.5
VIMI,TMP,A,5,12.2
VIMI,TMP,B,1,9.2
VIMI,TMP,B,2,6.5
VIMI,TMP,B,3,9.5
VIMI,TMP,B,4,11.8
VIMI,TMP,B,5,12.4
VIMI,TMP,C,1,36.1
VIMI,TMP,C,2,20.2
VIMI,TMP,C,3,15.2
VIMI,TMP,C,4,15.2
VIMI,TMP,C,5,28
